id,order_id,item_id
1,1,193
2,1,91
3,1,168
4,1,73
5,1,243
6,1,259
7,1,246
8,1,150
9,2,145
10,2,202
11,2,66
12,2,44
13,2,102
14,2,229
15,3,241
16,4,202
17,4,108
18,4,220
19,4,108
20,4,171
21,4,235
22,4,3
23,4,89
24,4,216
25,5,136
26,5,220
27,5,257
28,5,244
29,5,105
30,5,160
31,5,181
32,5,24
33,5,243
34,6,90
35,6,137
36,6,144
37,6,78
38,6,135
39,6,194
40,7,55
41,7,154
42,8,57
43,8,149
44,8,13
45,8,252
46,8,123
47,8,45
48,9,249
49,9,110
50,9,96
51,9,246
52,10,93
53,10,120
54,10,88
55,10,21
56,10,87
57,10,221
58,10,37
59,10,153
60,10,240
61,10,110
62,11,18
63,11,187
64,11,99
65,11,7
66,11,61
67,11,162
68,11,151
69,11,211
70,11,80
71,12,69
72,12,97
73,12,153
74,12,225
75,12,120
76,12,237
77,12,1
78,12,176
79,13,220
80,13,161
81,13,129
82,13,73
83,13,151
84,13,171
85,13,21
86,13,164
87,13,142
88,14,15
89,14,111
90,14,219
91,14,213
92,14,44
93,15,37
94,15,71
95,15,170
96,15,133
97,15,199
98,15,121
99,15,174
100,16,149
101,16,126
102,16,124
103,17,163
104,17,18
105,17,83
106,17,219
107,17,224
108,17,205
109,17,151
110,17,65
111,18,106
112,18,176
113,18,242
114,18,235
115,18,76
116,18,208
117,18,17
118,19,184
119,19,189
120,19,22
121,19,27
122,19,33
123,19,69
124,19,96
125,19,138
126,20,10
127,20,26
128,20,139
129,20,150
130,21,250
131,22,197
132,22,214
133,22,89
134,22,28
135,22,134
136,22,17
137,22,197
138,22,6
139,22,189
140,23,228
141,23,126
142,23,109
143,23,100
144,24,101
145,24,27
146,24,234
147,24,242
148,24,225
149,24,216
150,24,89
151,24,51
152,24,189
153,24,193
154,25,225
155,25,259
156,26,83
157,26,210
158,26,243
159,26,60
160,26,260
161,26,133
162,26,162
163,26,200
164,26,156
165,27,219
166,27,96
167,28,182
168,28,56
169,28,14
170,28,178
171,28,3
172,29,106
173,29,111
174,29,48
175,30,260
176,30,189
177,30,127
178,30,241
179,30,193
180,30,105
181,31,10
182,31,42
183,31,64
184,31,190
185,32,207
186,32,116
187,32,243
188,33,102
189,33,104
190,33,60
191,34,38
192,34,259
193,34,239
194,35,27
195,35,129
196,35,159
197,35,15
198,35,155
199,35,123
200,36,208
201,36,215
202,36,30
203,36,209
204,36,80
205,36,183
206,37,231
207,37,222
208,37,213
209,37,28
210,37,96
211,37,169
212,37,23
213,37,208
214,37,79
215,38,62
216,38,164
217,38,212
218,39,11
219,39,8
220,39,45
221,40,42
222,40,205
223,41,74
224,41,67
225,41,129
226,41,166
227,41,237
228,41,62
229,41,242
230,41,105
231,41,32
232,42,15
233,42,145
234,42,168
235,42,180
236,43,118
237,43,216
238,43,143
239,43,112
240,43,102
241,43,91
242,43,6
243,43,49
244,44,157
245,44,205
246,44,191
247,44,182
248,45,47
249,45,197
250,45,208
251,45,149
252,45,117
253,45,229
254,46,111
255,46,227
256,46,192
257,46,246
258,46,233
259,46,233
260,46,190
261,47,114
262,47,76
263,47,19
264,48,132
265,48,54
266,48,67
267,48,142
268,49,73
269,49,16
270,49,79
271,50,191
272,50,228
273,51,178
274,51,41
275,51,53
276,52,34
277,52,137
278,52,4
279,52,184
280,52,119
281,53,169
282,53,73
283,53,247
284,53,108
285,53,27
286,53,43
287,53,2
288,54,254
289,54,93
290,54,134
291,54,70
292,54,204
293,54,1
294,54,182
295,55,232
296,55,144
297,55,224
298,55,226
299,55,76
300,55,230
301,55,238
302,55,160
303,55,107
304,56,247
305,56,50
306,56,97
307,56,221
308,56,42
309,56,185
310,57,71
311,57,150
312,57,248
313,57,76
314,57,110
315,58,82
316,58,210
317,58,158
318,58,73
319,58,88
320,58,175
321,58,220
322,58,139
323,58,260
324,59,230
325,59,133
326,59,222
327,59,145
328,60,253
329,60,111
330,60,243
331,60,135
332,61,47
333,61,106
334,61,217
335,61,194
336,61,97
337,62,73
338,63,254
339,63,2
340,63,73
341,64,211
342,64,133
343,64,3
344,64,227
345,64,67
346,64,4
347,65,227
348,65,63
349,65,84
350,65,53
351,65,66
352,65,191
353,66,2
354,66,40
355,66,159
356,66,175
357,66,230
358,66,244
359,66,153
360,66,206
361,66,235
362,66,105
363,67,170
364,67,215
365,67,150
366,67,64
367,67,86
368,67,149
369,67,191
370,68,12
371,69,26
372,69,243
373,69,134
374,69,81
375,69,89
376,70,149
377,70,251
378,70,9
379,70,217
380,70,164
381,71,159
382,71,153
383,71,153
384,71,74
385,71,15
386,71,61
387,72,166
388,72,14
389,73,160
390,73,3
391,73,68
392,73,117
393,73,187
394,74,69
395,74,224
396,74,12
397,74,25
398,74,94
399,74,246
400,74,11
401,74,203
402,74,207
403,75,125
404,75,183
405,75,23
406,75,191
407,76,229
408,76,241
409,76,133
410,76,118
411,76,164
412,77,105
413,77,41
414,77,7
415,77,105
416,77,164
417,77,151
418,78,210
419,78,2
420,78,67
421,78,100
422,78,225
423,78,98
424,78,111
425,78,62
426,78,175
427,78,99
428,79,195
429,80,47
430,80,203
431,80,67
432,80,54
433,80,22
434,80,26
435,80,55
436,81,258
437,81,60
438,81,157
439,81,137
440,81,217
441,81,150
442,81,141
443,82,28
444,82,238
445,83,253
446,84,166
447,85,97
448,85,126
449,86,91
450,86,105
451,86,153
452,86,102
453,86,62
454,86,74
455,86,28
456,86,40
457,86,91
458,87,37
459,87,28
